,Year,Flows In [Mt],Flows Out [Mt],Stock [Mt]
0,1950,7.3455803220853815,0.34424360006486937,179.99348288240014
1,1951,5.9729223993932665,0.3723342404238687,185.95427174061257
2,1952,6.057499548265207,0.4020585062226282,191.95702573659003
3,1953,6.935433656152938,0.4334456301660079,198.66944827363858
4,1954,6.356846993175392,0.46662938409388044,205.0135884609481
5,1955,7.908466965656773,0.5015278667330326,212.6898072575622
6,1956,8.126414959699298,0.5383584752728736,220.69156145861982
7,1957,8.24795921132398,0.5770630995291544,228.9566343838241
8,1958,7.489794999849072,0.6176716129138593,236.77285187224996
9,1959,8.730696286801265,0.660124077406791,245.7514793913161
10,1960,10.151837338043345,0.7046108973991253,256.0622697462004
11,1961,9.845099756290933,0.75116328958477,266.2933519050428
12,1962,9.66642765853572,0.799714799405311,276.5626056378733
13,1963,10.254417040599217,0.8502787350314577,287.5628546980465
14,1964,11.668352953372626,0.9029337463732079,300.0828558733528
15,1965,11.92529289348493,0.9577806098237895,313.19341506877157
16,1966,11.989127965541096,1.0147656394226172,326.75533706766373
17,1967,12.091318346678992,1.073907414306528,340.788407844939
18,1968,12.671512988007946,1.1352289074729203,355.6804713523538
19,1969,13.914091856964363,1.1988117301474737,371.9828128778661
20,1970,14.42842641257406,1.2646931028139792,388.99015909035427
21,1971,13.732261471689162,1.3328617953479045,405.55737578542875
22,1972,20.619729171185373,1.4032045830546818,423.49638329418696
23,1973,22.824244371292767,1.476109935578578,443.46420501673634
24,1974,22.8382556158064,1.5515680145894615,463.5203718420264
25,1975,20.87268591085559,1.629434954912924,481.7519801727421
26,1976,21.90052737080809,1.70962101988307,500.894382187209
27,1977,21.820395473875433,1.7924148484588547,519.8564620384352
28,1978,23.336707361731072,1.8778088201864014,540.0372954483715
29,1979,24.360232585745152,1.9660142029035337,561.003318274732
30,1980,23.38275242458611,2.0570896453400573,580.9623224186619
31,1981,22.77985430358016,2.151000648847454,600.4324675713183
32,1982,21.00847638208122,2.2478950086814216,617.9519132590018
33,1983,21.39712392132496,2.347716192397578,635.9336209887833
34,1984,22.442350976144283,2.4508335796955176,655.1353604184342
35,1985,22.758625842678565,2.557472250200349,674.6103698664383
36,1986,22.838582859536967,2.667710912836071,694.0512830520279
37,1987,23.566303202517958,2.7816991549663173,714.0792158830625
38,1988,24.913489369780855,2.8996949111478836,735.2488016920647
39,1989,25.12577829508396,3.0219783472077397,756.4402758746852
40,1990,24.798395533960758,3.1486808805896866,777.154859972359
41,1991,23.773215020220842,3.2799539695267304,796.4721011066331
42,1992,23.782891995168956,3.4159929629157455,815.2359863170664
43,1993,23.88980049828554,3.5570354063759675,834.2242984487511
44,1994,23.873693254475626,3.7033517210047755,852.9903929048703
45,1995,24.685113065835203,3.8550826671781158,872.2176010485683
46,1996,24.76465985610079,4.012561668289842,891.1638543820897
47,1997,26.03578394976152,4.175932852052469,910.8741452140827
48,1998,25.62973766186186,4.345524210745478,929.9683201279512
49,1999,26.150530599835847,4.521369739629111,949.4423143547116
50,2000,27.943285234533104,4.703734835049703,970.4054549406794
51,2001,28.13452831502504,4.892949788207366,991.6186895087154
52,2002,29.588685962211688,5.088957401180695,1014.0976668535266
53,2003,32.15331594285941,5.292002979302141,1038.8973667940259
